Assay Type	IEDB Assay ID	Method/Technique	Measurement Of	Units	Tree View Name	Ontology ID	IEDB alternative term	RDFS Label	Textual Definition	Logical Axiom Count	Logical Note	Logical Definition Type	Parent	Technique	Input	Reagent	MHC Source	Biological Process	BCell Process Result	TCell Process Result	Output	Unit	has specified input some material entity plays role 'positive reference substance role'	Term Editor	Definition Source	Curator Comment	Curation Status	Comment	Synonyms				
MHC	273	purified MHC/competitive/fluorescence	half maximal inhibitory concentration (IC50)	nM	purified/competitive/fluorescence	OBI:0001613	half maximal inhibitory concentration (IC50)|purified MHC/competitive/fluorescence|nM	purified MHC competitive binding assay measuring half maximal inhibitory concentration [IC50] of a MHC:ligand complex using fluorescence detection	A purified MHC ligand binding half maximal inhibitory concentration (IC50) determination assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation.	4		equivalent	assay measuring the half maximal inhibitory concentration [IC50] of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation					nanomolar	Y	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				purified MHC, fluorescence, competition, equilibrium binding, IC50, nM				
BCell	310	inhibition by antigen (~ IC50)	dissociation constant KD	nM	inhibition by antigen (~ IC50)	OBI:0001638	dissociation constant KD|inhibition by antigen (~ IC50)|nM	antigen inhibition assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex approximated by IC50	A B cell epitope equilibrium dissociation constant (KD) assay that provides IC50 values determined under assay conditions where the IC50 approximates a KD value using a B cell epitope antigen inhibition of binding assay.	3	subclass because we don't model inhibition of binding	subclass	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex		('material entity' and 'has role' some 'positive reference substance role')						equilibrium dissociation constant (KD) approximated by IC50	nanomolar	Y	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				antigen competition of Ab binding, detection of Ab/Ag binding, IC50, nM, dissociation constant, approximating KD				
BCell	325	biological activity	histamine release		histamine release	OBI:0001639	histamine release|biological activity	biological activity assay measuring epitope specific Ig-mediated histamine release	A B cell epitope specific activation of additional immune response in vitro assay that detects histamine release.	1		equivalent	biological activity assay measuring epitope specific activation of additional immune response in vitro						histamine secretion mediated by immunoglobulin					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				Ig-mediated histamine release, antibody binding leading to biological activity				
BCell	400	biological activity	antigen activation		antigen activation	OBI:0001640	antigen activation|biological activity	biological activity assay measuring epitope specific immunoglobulin-mediated antigen activation	A B cell epitope dependent biological activity determination assay that detects antigen activation.	1	GO class does not capture antigen activation	subclass	assay measuring B cell epitope specific biological activity						immunoglobulin mediated immune response					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				enhancement, activation of antigen activity, antibody binding leading to biological activity				
BCell	239	biological activity	complement-dependent cytotoxicity		CDC	OBI:0001641	complement-dependent cytotoxicity|biological activity	biological activity assay measuring epitope specific complement-dependent cytotoxicity	A B cell epitope specific activation of additional immune response in vitro assay that detects complement-dependent cytotoxicity.	1		equivalent	biological activity assay measuring epitope specific activation of additional immune response in vitro						complement-dependent cytotoxicity					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				complement-dependent cytotoxicity, antibody binding leading to biological activity, CDC				
BCell	148	biological activity	antibody-dependent cellular cytotoxicity		ADCC	OBI:0001642	antibody-dependent cellular cytotoxicity|biological activity	biological activity assay measuring epitope specific antibody-dependent cellular cytotoxicity	A B cell epitope specific activation of additional immune response in vitro assay that detects antibody-dependent cellular cytotoxicity.	1		equivalent	biological activity assay measuring epitope specific activation of additional immune response in vitro						antibody-dependent cellular cytotoxicity					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				antibody-dependent cellular cytotoxicity, antibody binding leading to biological activity, ADCC				
BCell	316	biological activity	neutralization 		neutralization 	OBI:0001643	neutralization |biological activity	biological activity assay measuring epitope specific immunoglobulin-mediated neutralization	A B cell epitope dependent biological activity determination assay that detects neutralization of the antigen.	1		equivalent	assay measuring B cell epitope specific biological activity						immunoglobulin-mediated neutralization					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				neutralization, inhibition of antigen activity, antibody binding leading to biological activity				
BCell	303	biological activity	opsonization		opsonization	OBI:0001644	opsonization|biological activity	biological activity assay measuring epitope specific opsonization	A B cell epitope specific activation of additional immune response in vitro assay that detects opsonization.	1		equivalent	biological activity assay measuring epitope specific activation of additional immune response in vitro						opsonization					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				Ab-dependent phagocytosis, opsonization, antibody binding leading to biological activity				
BCell	438	calorimetry	qualitative binding		calorimetry	OBI:0001645	qualitative binding|calorimetry	calorimetry assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses a calorimetric binding assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	calorimetric binding assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				calorimetric binding assay, detection of Ab/Ag binding, calorimetry				
BCell	437	electron microscopy	3D structure		electron microscopy	OBI:0001646	3D structure|electron microscopy	electron microscopy assay determining the 3D structure of a B cell epitope:antibody complex	A B cell epitope 3D structure determination assay that uses an electron microscopy imaging assay.	2		equivalent	3D structure determining assay of a 3D B cell epitope:antibody complex	electron microscopy imaging assay							3D structural organization datum			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				electron microscopy, EM, characterization of Ab binding				
BCell	435	nuclear magnetic resonance (NMR)	3D structure		NMR	OBI:0001647	3D structure|nuclear magnetic resonance (NMR)	NMR assay determining the 3D structure of a B cell epitope:antibody complex	A B cell epitope 3D structure determination assay that uses a nuclear magnetic resonance assay.	2		equivalent	3D structure determining assay of a 3D B cell epitope:antibody complex	nuclear magnetic resonance 3D structure determination assay							3D structural organization datum			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				nuclear magnetic resonance, NMR, characterization of Ab binding				
BCell	308	cross blocking	qualitative binding		cross blocking	OBI:0001648	qualitative binding|cross blocking	cross blocking assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses an antibody cross-blocking assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	antibody cross-blocking assay									Y	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				Ab competition of Ab binding, detection of Ab/Ag binding, cross blocking				
BCell	199	radio immuno assay (RIA)	qualitative binding		radio immuno assay (RIA)	OBI:0001649	qualitative binding|radio immuno assay (RIA)	RIA measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses a radio immuno assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	radio immuno assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				radio immuno assay, RIA, detection of Ab/Ag binding				
BCell	37	western blot	qualitative binding		western blot	OBI:0001650	qualitative binding|western blot	immunoblot assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses an immunoblot assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	immunoblot assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				western, immunoblot, detection of Ab/Ag binding, WB, IB				
BCell	159	surface plasmon resonance (SPR)	qualitative binding		plasmon resonance	OBI:0001651	qualitative binding|surface plasmon resonance (SPR)	plasmon resonance assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses a surface plasmon resonance assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	surface plasmon resonance binding assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				surface plasmon resonance, SPR, detection of Ab/Ag binding				
BCell	38	immuno staining	qualitative binding		immuno staining	OBI:0001652	qualitative binding|immuno staining	immuno staining assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses an immuno staining assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	immuno staining assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				immunofluorescence assay, IFA,microarray, detection of Ab/Ag binding, immuno staining				
BCell	39	immunoprecipitation	qualitative binding		immunoprecipitation	OBI:0001653	qualitative binding|immunoprecipitation	immunoprecipitation assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses an immunoprecipitation assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	immunoprecipitation assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				immunoprecipitation, detection of Ab/Ag binding, IP				
BCell	248	mass spectrometry	qualitative binding		mass spectrometry	OBI:0001654	qualitative binding|mass spectrometry	mass spectrometry assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses a mass spectrometry assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	mass spectrometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				mass spectroscopy, MS, detection of Ab/Ag binding, mass spectrometry				
BCell	195	phage display	qualitative binding		phage display	OBI:0001655	qualitative binding|phage display	phage display assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses a phage display binding assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	phage display binding assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				phage display, immunopanning, detection of Ab/Ag binding				
BCell	190	electron microscopy	qualitative binding		electron microscopy	OBI:0001656	qualitative binding|electron microscopy	electron microscopy assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses an electron microscopy imaging assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	electron microscopy imaging assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				electron microscopy, EM, detection of Ab/Ag binding				
BCell	34	ELISA	qualitative binding		ELISA	OBI:0001657	qualitative binding|ELISA	ELISA measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses an enzyme-linked immunosorbent assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, detection of Ab/Ag binding				
BCell	265	ELISPOT	qualitative binding		ELISPOT	OBI:0001658	qualitative binding|ELISPOT	ELISPOT assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses an enzyme-linked immunospot assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	enzyme-linked immunospot assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISPOT, detection of Ab/Ag binding				
BCell	139	flow cytometry	qualitative binding		FACS	OBI:0001659	qualitative binding|flow cytometry	flow cytometry assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses a flow cytometry assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	flow cytometry assay										IEDB	IEDB				fluorescence activated cell sorter, FACS, detection of Ab/Ag binding				
TCell	441	intracellular staining	granzyme A release		intracellular staining	OBI:0001660	granzyme A release|intracellular staining	intracellular material detection assay measuring epitope specific granzyme A release by T cells	A T cell epitope specific granzyme A release assay that uses an intracellular material detection by flow cytometry assay.	1		equivalent	biological activity assay measuring epitope specific granzyme A release by T cells	flow cytometry assay										IEDB	IEDB				intracellular staining, granzyme A release				
BCell	193	chromatography	qualitative binding		chromatography	OBI:0001661	qualitative binding|chromatography	chromatography assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses an analytical chromatography assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	analytical chromatography										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				chromatography, detection of Ab/Ag binding				
BCell	130	nuclear magnetic resonance (NMR)	qualitative binding		nuclear magnetic resonance (NMR)	OBI:0001662	qualitative binding|nuclear magnetic resonance (NMR)	NMR assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses a nuclear magnetic resonance assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	nuclear magnetic resonance 3D structure determination assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				nuclear magnetic resonance, NMR, characterization of Ab binding				
TCell	443	ELISA	granulysin release		ELISA	OBI:0001663	granulysin release|ELISA	ELISA measuring epitope specific granulysin release by T cells	A T cell epitope specific granulysin release assay that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific granulysin release by T cells	enzyme-linked immunosorbent assay										IEDB	IEDB				ELISA				
TCell	442	intracellular staining	granulysin release		intracellular staining	OBI:0001664	granulysin release|intracellular staining	intracellular material detection assay measuring epitope specific granulysin release by T cells	A T cell epitope specific granulysin release assay that uses an intracellular material detection by flow cytometry assay.	1		equivalent	biological activity assay measuring epitope specific granulysin release by T cells	flow cytometry assay										IEDB	IEDB				intracellular staining, granulysin release				
MHC	445	cellular MHC/direct/fluorescence	off rate	1/s	cellular/direct/fluorescence	OBI:0001665	off rate|cellular MHC/direct/fluorescence|1/s	cell bound MHC direct binding assay measuring the off rate [koff] of a MHC:ligand complex using fluorescence detection	A cell bound MHC ligand binding off rate measurement (koff) determination assay that uses fluorescence detection to measure direct ligand binding.	3		equivalent	assay measuring the off rate measurement [koff] of a MHC:ligand complex	fluorescence detection assay			cell					hertz	N	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cell bound MHC, fluorescence, dissociation, Koff, s^-1,				
MHC	444	cellular MHC/direct/fluorescence	on rate	nM^-1s^-1	cellular/direct/fluorescence	OBI:0001666	on rate|cellular MHC/direct/fluorescence|nM^-1s^-1	cell bound MHC direct binding assay measuring binding on rate [kon] of a MHC:ligand complex using fluorescence detection	A cell bound MHC ligand binding on rate (kon) determination assay that uses fluorescence detection to measure direct ligand binding.	3		equivalent	assay measuring the MHC ligand binding on rate [kon] of a MHC:ligand complex	fluorescence detection assay			cell					count per nanomolar second	N	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cell bound MHC, fluorescence, association, direct binding, Kon, nM^-1 s^-1				
MHC	446	purified MHC/competitive/fluorescence	dissociation constant KD (~IC50)	nM	purified/competitive/fluorescence (~IC50)	OBI:0001667	dissociation constant KD (~IC50)|purified MHC/competitive/fluorescence|nM	purified MHC competitive binding assay measuring equilibrium dissociation constant [KD] of a MHC:ligand complex approximated by IC50 using fluorescence detection	A purified MHC ligand binding equilibrium dissociation constant (KD) determination assay that uses fluorescence detection to detect loss of binding of a known reference ligand due to competition by the ligand under investigation and provides IC50 values determined under assay conditions where the IC50 approximates a KD value. 	4	subclass because we don't model proxies	subclass	assay measuring the dissociation constant [KD] of a MHC:ligand complex	fluorescence detection assay	('material entity' and 'has role' some 'competitive binding reference ligand role')		purified MHC molecule preparation					nanomolar	Y	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				purified MHC, fluorescence, competition, equilibrium binding, approximating, IC50, nM, dissociation constant				
TCell	440	ELISA	IL-17A release		ELISA	OBI:0001675	IL-17A release|ELISA	ELISA measuring epitope specific interleukin-17A production by T cells	A T cell epitope specific interleukin-17A production assay that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific interleukin-17A production by T cells	enzyme-linked immunosorbent assay										IEDB	IEDB				ELISA, cytokine release				
TCell	439	RNA/DNA detection	IL-7 release		RNA/DNA	OBI:0001676	IL-7 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-7 production by T cells	An assay of epitope specific interleukin-7 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-7 production by T cells	detection of specific nucleic acid polymers with complementary probes										IEDB	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
BCell	197	in vivo assay	protection from fertility		protection from fertility	OBI:0001692	protection from fertility|in vivo assay	in vivo assay measuring B cell epitope specific protection from fertility	An efficacy of B cell epitope intervention experiment that uses a epitope protection experiment based on reduction of fertility.	1	subclass because we don't have a 'reduction of fertility' class	subclass	biological activity assay measuring B cell epitope specific in vivo activity	in vivo intervention experiment										PERSON:Randi Vita, James Overton, Bjoern Peters	IEDB				fertility				
BCell	361	in vivo assay	tolerance		tolerance	OBI:0001693	tolerance|in vivo assay	in vivo assay measuring B cell epitope specific tolerance induction	An efficacy of B cell epitope intervention experiment that uses a tolerance induction intervention experiment.	2		equivalent	biological activity assay measuring B cell epitope specific in vivo activity	tolerance induction intervention experiment					B cell tolerance induction					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				induction of tolerance, antibody binding leading to biological activity				
BCell	214	in vivo assay	hypersensitivity		skin test	OBI:0001694	hypersensitivity|in vivo assay	in vivo assay measuring B cell epitope specific induction of hypersensitivity	An efficacy of B cell epitope intervention experiment that detects a hypersensitivity response by monitoring skin reactions.	2		equivalent	biological activity assay measuring B cell epitope specific in vivo activity	in vivo intervention experiment					hypersensitivity					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				hypersensitivity, antibody binding leading to biological activity, skin test, skin prick, allergy				
BCell	168	biological activity	agglutination		agglutination	OBI:0001695	agglutination|biological activity	biological activity assay measuring epitope specific immune complex formation	A B cell epitope specific activation of additional immune response in vitro assay that detects agglutination.	1		equivalent	biological activity assay measuring epitope specific activation of additional immune response in vitro						immune complex formation					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				agglutination, detection of Ab/Ag binding				
BCell	124	in vivo assay	survival from challenge		survival	OBI:0001696	survival from challenge|in vivo assay	in vivo assay measuring B cell epitope specific protection based on survival	A B cell epitope in vivo intervention experiment that uses a epitope protection experiment based on survival.	1	subclass because we don't have a 'by survival' class	subclass	in vivo assay measuring B cell epitope specific protection from challenge	epitope protection experiment										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				survival after challenge, antibody binding leading to biological activity				
BCell	326	in vivo assay	decreased disease		decreased disease	OBI:0001697	decreased disease|in vivo assay	in vivo assay measuring B cell epitope specific treatment of disease	An efficacy of B cell epitope intervention experiment that detects a decrease in disease.	1		equivalent	biological activity assay measuring B cell epitope specific in vivo activity	treatment intervention experiment										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				reduction of disease after treatment, antibody binding leading to biological activity				
BCell	557	biological activity	in vivo activity		in vivo	OBI:0001698	in vivo activity|biological activity	biological activity assay measuring B cell epitope specific in vivo activity	A B cell epitope dependent biological activity determination assay that uses an in vivo intervention experiment.	1		equivalent	assay measuring B cell epitope specific biological activity	in vivo intervention experiment										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				in vivo activity, any method				
BCell	311	inhibition by antigen	qualitative binding		inhibition by antigen	OBI:0001701	qualitative binding|inhibition by antigen	antigen inhibition assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that measures the ability of an antigen to inhibit antibody binding to a known ligand.	1	subclass because we don't model inhibition of binding	subclass	assay measuring qualitiative binding of a B cell epitope:antibody complex		('material entity' and 'has role' some 'positive reference substance role')								Y	PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				antigen competition of Ab binding, detection of Ab/Ag binding				
BCell	552	binding assay	qualitative binding		qualitative binding	OBI:0001703	qualitative binding|binding assay	assay measuring qualitiative binding of a B cell epitope:antibody complex	A B cell epitope recognition assay that detects qualitative binding.	1		equivalent	assay measuring binding of a B cell epitope:antibody complex					immunoglobulin binding to epitope						IEDB	IEDB				qualitative binding to antibody assay, detection of Ab/Ag binding, microarray, antibody binding				
BCell	558	biological activity	secondary in vitro activity		secondary in vitro activity	OBI:0001704	secondary in vitro activity|biological activity	biological activity assay measuring epitope specific activation of additional immune response in vitro	A B cell epitope dependent biological activity determination assay that detects secondary in vitro activity.	1	subclass because we don't distinguish primary biological activity from secondary biological activity (OBI:0001706)	subclass	assay measuring B cell epitope specific biological activity					('process is result of' some 'immunoglobulin binding to epitope')						IEDB	IEDB				secondary in vitro activity, any method				
BCell	144	biological activity	antibody activity inhibition		antibody activity inhibition	OBI:0001705	antibody activity inhibition|biological activity	biological activity assay measuring epitope specific antigen inhibition of antibody activity	A B cell epitope dependent biological activity determination assay that detects inhibition of the antibody's activity by the antigen.	1	subclass because we don't model inhibition of binding	subclass	assay measuring B cell epitope specific biological activity		('material entity' and 'has role' some 'positive reference substance role')								Y	IEDB	IEDB				inhibition of Ab biological activity, antibody binding leading to biological activity				
BCell	parent	any method	biological activity		biological activity	OBI:0001706	biological activity|any method	assay measuring B cell epitope specific biological activity	A B cell epitope recognition assay that detects biological activity.	1		equivalent	assay measuring binding of a B cell epitope:antibody complex					('process is result of' some 'immunoglobulin binding to epitope')						IEDB	IEDB				biological activity, any method				
BCell	547	binding assay	dissociation constant KD	nM	dissociation (KD)	OBI:0001708	dissociation constant KD|binding assay|nM	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	A B cell epitope binding constant determination assay that measures the dissociation constant KD.	1		equivalent	assay measuring a binding constant of a B cell epitope:antibody complex								equilibrium dissociation constant (KD)			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				any method, equilibrium dissociation constant, KD, nM				
BCell	parent	binding assay	binding constant		binding constant	OBI:0001709	binding constant|binding assay	assay measuring a binding constant of a B cell epitope:antibody complex	A B cell epitope recognition assay that quantitavely characterizes the binding of an antibody / BCR with a ligand by determining a binding constant. 	1		equivalent	assay measuring binding of a B cell epitope:antibody complex								binding constant			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				any method, binding constant determination				
BCell	125	in vivo assay	protection from challenge		challenge	OBI:0001710	protection from challenge|in vivo assay	in vivo assay measuring B cell epitope specific protection from challenge	An efficacy of B cell epitope intervention experiment that uses a epitope protection experiment.	1		equivalent	biological activity assay measuring B cell epitope specific in vivo activity	epitope protection experiment										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				protection after challenge, antibody binding leading to biological activity, protection from fertility				
BCell	356	in vivo assay	disease exacerbation		disease exacerbation	OBI:0001711	disease exacerbation|in vivo assay	in vivo assay measuring B cell epitope specific disease exacerbation	An efficacy of B cell epitope intervention experiment that uses a disease exacerbation in vivo intervention experiment.	1		equivalent	biological activity assay measuring B cell epitope specific in vivo activity	disease exacerbation in vivo intervention experiment										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				exacerbation of disease after treatment, antibody binding leading to biological activity				
BCell	545	binding assay	on rate	M^-1s^-1	on rate	OBI:0001718	on rate|binding assay|M^-1s^-1	assay measuring the on rate [kon] of a B cell epitope:antibody complex	A B cell epitope binding constant determination assay that measures the on rate.	1		equivalent	assay measuring a binding constant of a B cell epitope:antibody complex								binding on rate measurement datum (kon)			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				any method, on rate, kon, ka, M^-1 s^-1				
BCell	544	binding assay	association constant KA	1/nM	association (KA)	OBI:0001719	association constant KA|binding assay|1/nM	assay measuring the association constant [KA] of a B cell epitope:antibody complex	A B cell epitope binding constant determination assay that measures the association constant KA.	1		equivalent	assay measuring a binding constant of a B cell epitope:antibody complex								equilibrium association constant (KA)			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				any method, equilibrium association constant, KA, 1/nM				
BCell	551	any method	3D structure		3D structure	OBI:0001721	3D structure|any method	3D structure determining assay of a 3D B cell epitope:antibody complex	A B cell epitope recognition assay that characterizes the 3D structure of an antibody / BCR with a ligand.	2		equivalent	assay measuring binding of a B cell epitope:antibody complex	3D structure determination of bound complex assay							3D structural organization datum			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				any method, 3D structure				
BCell	548	binding assay	off rate	1/s	off rate	OBI:0001723	off rate|binding assay|1/s	assay measuring the off rate [koff] of a B cell epitope:antibody complex	A B cell epitope binding constant determination assay that measures the off rate.	1		equivalent	assay measuring a binding constant of a B cell epitope:antibody complex								binding off rate measurement datum (koff)			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				any method, off rate, koff, kd, s^-1				
BCell	231	biological activity	hemagglutination inhibition		hemagglutination inhibition	OBI:0001724	hemagglutination inhibition|biological activity	biological activity assay measuring epitope specific hemagglutination inhibition	A B cell epitope qualitative binding to antibody assay that uses a viral hemagglutination inhibition assay.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	viral hemagglutination inhibition assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				hemagglutination inhibition, antibody binding leading to biological activity				
BCell	347	quenching	qualitative binding		quenching	OBI:0001726	qualitative binding|quenching	quenching assay measuring binding of a B cell epitope:antibody complex	A B cell epitope qualitative binding to antibody assay that uses an antibody binding detection by fluorescence quenching.	1		equivalent	assay measuring qualitiative binding of a B cell epitope:antibody complex	antibody binding detection by fluorescence quenching										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				fluorescence immuno assay, FIA, characterization of Ab binding, quenching				
BCell	304	radio immuno assay (RIA)	dissociation constant KD	nM	RIA	OBI:0001727	dissociation constant KD|radio immuno assay (RIA)|nM	RIA measuring the dissociation constant [KD] of a B cell epitope:antibody complex	A B cell epitope equilibrium dissociation constant (KD) determination assay that uses a radio immuno assay.	2		equivalent	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	radio immuno assay								nanomolar		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				radio immuno assay, RIA, characterization of Ab binding, nM, dissociation constant				
BCell	250	ELISA	dissociation constant KD	nM	ELISA	OBI:0001728	dissociation constant KD|ELISA|nM	ELISA measuring the dissociation constant [KD] of a B cell epitope:antibody complex	A B cell epitope equilibrium dissociation constant (KD) determination assay that uses an enzyme-linked immunosorbent assay.	2		equivalent	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	enzyme-linked immunosorbent assay								nanomolar		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, characterization of Ab binding, nM, dissociation constant				
BCell	322	quenching	dissociation constant KD	nM	quenching	OBI:0001729	dissociation constant KD|quenching|nM	quenching assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	A B cell epitope equilibrium dissociation constant (KD) determination assay that uses an antibody binding detection by fluorescence quenching assay.	2		equivalent	assay measuring the dissociation constant [KD] of a B cell epitope:antibody complex	antibody binding detection by fluorescence quenching								nanomolar		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				fluorescence immuno assay, FIA, characterization of Ab binding, nM, dissociation constant, quenching				
BCell	242	surface plasmon resonance (SPR)	association constant KA	1/nM	plasmon resonance	OBI:0001730	association constant KA|surface plasmon resonance (SPR)|1/nM	surface plasmon resonance assay measuring the association constant [KA] of a B cell epitope:antibody complex	A B cell epitope equilibrium association constant (KA) determination assay that uses a surface plasmon resonance assay.	2		equivalent	assay measuring the association constant [KA] of a B cell epitope:antibody complex	surface plasmon resonance binding assay								count per nanomolar		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				surface plasmon resonance, SPR, characterization of Ab binding, association constant, 1/nM				
